match_date_time,garment_sku,location_id
2025-04-16 14:11:57,WOFV7C00L,R3B77-S-CT3
2025-04-16 13:46:06,WOFV3R2XL,R3C75-S-BT2
2025-04-16 13:46:09,WOFV3R0XL,R3C75-S-BT1
2025-04-16 13:46:13,WOFV3R00S,R3C75-S-AT1
2025-04-16 13:46:16,WOFV3R00M,R3C75-S-AT2
2025-04-16 13:46:20,WOFV3R00L,R3C75-S-AT3
2025-04-16 13:52:01,WOFV2H2XL,R3C75-N-DT2
2025-04-16 13:52:05,WOFV2H0XL,R3C75-N-DT1
2025-04-16 13:52:08,WOFV2H00S,R3C75-N-CT1
2025-04-16 13:52:12,WOFV2H00M,R3C75-N-CT2
2025-04-16 13:52:15,WOFV2H00L,R3C75-N-CT3
2025-04-16 13:52:22,WOFV1W2XL,R3C75-N-BT2
2025-04-16 13:52:26,WOFV1W0XL,R3C75-N-BT1
2025-04-16 13:52:29,WOFV1W00S,R3C75-N-AT1
2025-04-16 13:52:33,WOFV1W00M,R3C75-N-AT2
2025-04-16 13:52:36,WOFV1W00L,R3C75-N-AT3
2025-04-16 13:45:45,WOFV1B2XL,R3C75-S-DT2
2025-04-16 13:45:48,WOFV1B0XL,R3C75-S-DT1
2025-04-16 13:45:52,WOFV1B00S,R3C75-S-CT1
2025-04-16 13:45:55,WOFV1B00M,R3C75-S-CT2
2025-04-16 13:45:59,WOFV1B00L,R3C75-S-CT3
2025-04-16 11:28:25,WOBTX63XL,R3C63-N-BT3
2025-04-16 11:28:28,WOBTX62XL,R3C63-N-BT2
2025-04-16 11:28:31,WOBTX60XL,R3C63-N-BT1
2025-04-16 11:28:35,WOBTX600S,R3C63-N-AT1
2025-04-16 11:28:38,WOBTX600M,R3C63-N-AT2
2025-04-16 11:28:41,WOBTX600L,R3C63-N-AT3
2025-04-16 11:26:54,WOBT7C3XL,R3E63-N-BT3
2025-04-16 11:26:57,WOBT7C2XL,R3E63-N-BT2
2025-04-16 11:27:00,WOBT7C0XL,R3E63-N-BT1
2025-04-16 11:27:03,WOBT7C00S,R3E63-N-AT1
2025-04-16 11:27:07,WOBT7C00M,R3E63-N-AT2
2025-04-16 11:27:10,WOBT7C00L,R3E63-N-AT3
2025-04-16 11:27:13,WOBT5G3XL,R3D63-N-DT3
2025-04-16 11:27:17,WOBT5G2XL,R3D63-N-DT2
2025-04-16 11:27:20,WOBT5G0XL,R3D63-N-DT1
2025-04-16 11:27:23,WOBT5G00S,R3D63-N-CT1
2025-04-16 11:27:26,WOBT5G00M,R3D63-N-CT2
2025-04-16 11:27:30,WOBT5G00L,R3D63-N-CT3
2025-04-16 11:21:31,WOBT5B3XL,R3D63-S-BT3
2025-04-16 11:21:35,WOBT5B2XL,R3D63-S-BT2
2025-04-16 11:21:38,WOBT5B0XL,R3D63-S-BT1
2025-04-16 11:21:41,WOBT5B00S,R3D63-S-AT1
2025-04-16 11:21:44,WOBT5B00M,R3D63-S-AT2
2025-04-16 11:21:48,WOBT5B00L,R3D63-S-AT3
2025-04-16 11:27:33,WOBT4P3XL,R3D63-N-BT3
2025-04-16 11:27:36,WOBT4P2XL,R3D63-N-BT2
2025-04-16 11:27:39,WOBT4P0XL,R3D63-N-BT1
2025-04-16 11:27:43,WOBT4P00S,R3D63-N-AT1
2025-04-16 11:27:46,WOBT4P00M,R3D63-N-AT2
2025-04-16 11:27:49,WOBT4P00L,R3D63-N-AT3
2025-04-16 11:21:12,WOBT3R3XL,R3D63-S-DT3
2025-04-16 11:21:15,WOBT3R2XL,R3D63-S-DT2
2025-04-16 11:21:18,WOBT3R0XL,R3D63-S-DT1
2025-04-16 11:21:22,WOBT3R00S,R3D63-S-CT1
2025-04-16 11:21:25,WOBT3R00M,R3D63-S-CT2
2025-04-16 11:21:28,WOBT3R00L,R3D63-S-CT3
2025-04-16 11:20:52,WOBT2H3XL,R3C63-S-BT3
2025-04-16 11:20:56,WOBT2H2XL,R3C63-S-BT2
2025-04-16 11:20:59,WOBT2H0XL,R3C63-S-BT1
2025-04-16 11:21:02,WOBT2H00S,R3C63-S-AT1
2025-04-16 11:21:05,WOBT2H00M,R3C63-S-AT2
2025-04-16 11:21:09,WOBT2H00L,R3C63-S-AT3
2025-04-16 11:22:11,WOBT2F3XL,R3E63-S-BT3
2025-04-16 11:22:14,WOBT2F2XL,R3E63-S-BT2
2025-04-16 11:22:17,WOBT2F0XL,R3E63-S-BT1
2025-04-16 11:22:21,WOBT2F00S,R3E63-S-AT1
2025-04-16 11:22:25,WOBT2F00M,R3E63-S-AT2
2025-04-16 11:22:28,WOBT2F00L,R3E63-S-AT3
2025-04-16 11:25:05,WOBT1W3XL,R3F63-N-BT3
2025-04-16 11:25:08,WOBT1W2XL,R3F63-N-BT2
2025-04-16 11:25:11,WOBT1W0XL,R3F63-N-BT1
2025-04-16 11:25:15,WOBT1W00S,R3F63-N-AT1
2025-04-16 11:25:18,WOBT1W00M,R3F63-N-AT2
2025-04-16 11:25:21,WOBT1W00L,R3F63-N-AT3
2025-04-16 11:21:51,WOBT1Q3XL,R3E63-S-DT3
2025-04-16 11:21:54,WOBT1Q2XL,R3E63-S-DT2
2025-04-16 11:21:58,WOBT1Q0XL,R3E63-S-DT1
2025-04-16 11:22:01,WOBT1Q00S,R3E63-S-CT1
2025-04-16 11:22:04,WOBT1Q00M,R3E63-S-CT2
2025-04-16 11:22:07,WOBT1Q00L,R3E63-S-CT3
2025-04-16 11:26:34,WOBT1B3XL,R3E63-N-DT3
2025-04-16 11:26:38,WOBT1B2XL,R3E63-N-DT2
2025-04-16 11:26:41,WOBT1B0XL,R3E63-N-DT1
2025-04-16 11:26:44,WOBT1B00S,R3E63-N-CT1
2025-04-16 11:26:47,WOBT1B00M,R3E63-N-CT2
2025-04-16 11:26:51,WOBT1B00L,R3E63-N-CT3
2025-04-16 11:22:38,WOBT0O3XL,R3F63-S-DT3
2025-04-16 11:22:35,WOBT0O2XL,R3F63-S-DT2
